player_id,season,pp_era,pp_whip,pp_is_rhp
686730,2025,6.08,1.5,1.0
669160,2025,4.96,1.42,1.0
668881,2025,2.7,0.97,1.0
622663,2025,4.65,1.32,1.0
645261,2025,5.67,1.32,1.0
669358,2025,4.94,1.34,1.0
621244,2025,4.02,1.29,1.0
701542,2025,4.28,1.39,1.0
694477,2025,3.6,1.3,1.0
669713,2025,4.5,1.09,1.0
669302,2025,3.61,1.02,1.0
669461,2025,4.15,1.3,0.0
650633,2025,2.81,1.09,1.0
681343,2025,3.95,1.2,1.0
686752,2025,3.59,1.13,1.0
642547,2025,2.5,1.07,1.0
543243,2025,4.43,1.23,1.0
622491,2025,3.94,1.29,1.0
605488,2025,4.13,1.18,0.0
680732,2025,4.28,1.44,1.0
656302,2025,4.81,1.34,1.0
687922,2025,6.66,1.52,0.0
687362,2025,8.65,1.65,1.0
664285,2025,3.4,1.2,0.0
621107,2025,5.93,1.42,1.0
554430,2025,2.71,0.94,1.0
607074,2025,3.12,1.07,0.0
592836,2025,3.92,1.36,1.0
605483,2025,3.19,1.49,0.0
450203,2025,5.51,1.51,1.0
657746,2025,3.32,1.01,1.0
471911,2025,7.09,1.71,1.0
684007,2025,3.15,0.93,0.0
641482,2025,6.29,1.63,0.0
621111,2025,5.45,1.56,1.0
656427,2025,4.85,1.3,1.0
656731,2025,3.95,1.36,1.0
663372,2025,4.75,1.48,1.0
656605,2025,4.16,1.26,1.0
434378,2025,4.09,1.39,1.0
663623,2025,5.71,1.44,1.0
666200,2025,4.01,1.29,0.0
680885,2025,3.09,0.97,1.0
607625,2025,4.15,1.29,1.0
667755,2025,4.07,1.37,1.0
641816,2025,2.34,1.13,1.0
641927,2025,5.23,1.35,1.0
641302,2025,4.95,1.4,0.0
681857,2025,3.15,1.21,1.0
680730,2025,5.87,1.48,0.0
571510,2025,2.92,1.06,0.0
605400,2025,6.78,1.51,1.0
663559,2025,4.45,1.28,0.0
594798,2025,2.78,0.93,1.0
608379,2025,3.45,1.18,1.0
608566,2025,6.19,1.71,1.0
656288,2025,3.77,1.38,1.0
660730,2025,9.15,1.68,1.0
592662,2025,3.31,1.18,0.0
700363,2025,3.86,1.42,1.0
686799,2025,6.81,1.75,1.0
656794,2025,2.9,1.4,0.0
690916,2025,5.0,1.31,1.0
690928,2025,4.13,1.28,1.0
650911,2025,2.6,1.12,0.0
592866,2025,6.21,1.54,1.0
571760,2025,5.39,1.36,0.0
656849,2025,3.72,1.32,0.0
663978,2025,5.37,1.31,1.0
695549,2025,4.22,1.49,1.0
663460,2025,2.55,1.18,0.0
801403,2025,6.77,1.6,1.0
676962,2025,5.98,1.45,1.0
677958,2025,5.74,1.46,1.0
663855,2025,6.95,1.66,1.0
542881,2025,4.56,1.41,0.0
663554,2025,3.87,1.3,1.0
669022,2025,4.15,1.34,0.0
669387,2025,4.03,1.37,1.0
673540,2025,3.02,1.31,1.0
547179,2025,4.54,1.33,1.0
669373,2025,2.1,0.86,0.0
668678,2025,4.77,1.28,1.0
657006,2025,4.76,1.15,0.0
657277,2025,3.17,1.23,1.0
594902,2025,3.22,1.19,1.0
695418,2025,4.2,1.31,1.0
676979,2025,2.67,1.08,0.0
605280,2025,3.61,1.33,1.0
694973,2025,1.98,0.94,1.0
519242,2025,2.38,1.1,0.0
666142,2025,5.18,1.29,0.0
592791,2025,4.15,1.08,1.0
518876,2025,3.16,1.04,1.0
607536,2025,5.1,1.45,0.0
674370,2025,5.73,1.57,1.0
694297,2025,5.18,1.38,1.0
694738,2025,3.8,1.48,1.0
671106,2025,4.46,1.44,0.0
622608,2025,6.92,1.86,1.0
656557,2025,8.04,1.69,1.0
622379,2025,7.71,2.71,1.0
641793,2025,3.81,1.14,1.0
656550,2025,3.99,1.34,1.0
676440,2025,4.69,1.3,1.0
663903,2025,3.98,1.26,1.0
668909,2025,3.17,1.29,1.0
663436,2025,4.06,1.3,1.0
573186,2025,6.23,1.54,1.0
671737,2025,4.92,1.31,1.0
665795,2025,3.57,1.21,1.0
682243,2025,5.53,1.4,1.0
669467,2025,5.28,1.43,1.0
669854,2025,4.1,1.18,1.0
701581,2025,5.4,1.28,1.0
601713,2025,2.85,0.96,1.0
808967,2025,2.72,1.01,1.0
608372,2025,4.41,1.32,1.0
593958,2025,5.22,1.6,0.0
676664,2025,5.01,1.3,0.0
669372,2025,4.95,1.34,1.0
571945,2025,4.89,1.33,1.0
656876,2025,2.74,0.97,1.0
527048,2025,3.15,1.07,0.0
682847,2025,4.36,1.38,1.0
687473,2025,5.67,1.48,1.0
671096,2025,2.88,1.15,0.0
606996,2025,5.55,1.15,0.0
669203,2025,2.66,1.17,1.0
693433,2025,3.02,0.97,1.0
808963,2025,4.72,1.49,1.0
700249,2025,5.16,1.46,0.0
671212,2025,5.4,1.39,1.0
680573,2025,4.53,1.4,1.0
607192,2025,3.41,1.11,1.0
615698,2025,6.04,1.45,1.0
666157,2025,3.22,1.04,0.0
608331,2025,2.98,1.11,0.0
681190,2025,3.91,1.38,1.0
682990,2025,3.25,1.23,1.0
689017,2025,5.12,1.47,1.0
592332,2025,3.63,1.03,1.0
607200,2025,5.68,1.58,1.0
605135,2025,3.97,1.32,1.0
571927,2025,3.09,1.1,0.0
500779,2025,3.72,1.31,0.0
607259,2025,4.69,1.24,1.0
665152,2025,4.43,1.26,1.0
607067,2025,4.3,1.34,1.0
657376,2025,3.32,1.09,1.0
571578,2025,4.48,1.35,0.0
686563,2025,5.67,1.49,1.0
676974,2025,4.73,1.42,1.0
670102,2025,6.05,1.53,1.0
687064,2025,6.24,1.54,1.0
676272,2025,12.6,2.6,1.0
693821,2025,5.54,1.43,1.0
543294,2025,4.81,1.3,1.0
543135,2025,1.73,0.85,1.0
701656,2025,1.78,0.99,1.0
678394,2025,3.07,1.23,1.0
686613,2025,2.25,1.01,1.0
579328,2025,4.18,1.48,0.0
672456,2025,4.7,1.43,1.0
656240,2025,5.48,1.42,1.0
641154,2025,2.84,1.08,1.0
680951,2025,13.5,2.75,0.0
687134,2025,8.62,1.79,1.0
688138,2025,4.37,1.4,1.0
502043,2025,16.78,2.92,1.0
669060,2025,6.65,1.82,1.0
695534,2025,19.5,3.67,1.0
805123,2025,3.06,1.02,1.0
676106,2025,5.49,1.48,1.0
664062,2025,5.0,1.42,1.0
684320,2025,3.14,1.09,1.0
623211,2025,3.91,1.32,1.0
678368,2025,3.99,1.27,1.0
642232,2025,3.71,1.12,0.0
624133,2025,2.89,1.18,0.0
669194,2025,3.57,1.05,1.0
683004,2025,3.74,1.29,1.0
608337,2025,3.38,1.26,1.0
668964,2025,3.95,1.51,1.0
685299,2025,6.07,1.58,1.0
680684,2025,6.4,1.52,1.0
647336,2025,4.86,1.13,1.0
621121,2025,6.97,1.87,1.0
663947,2025,3.93,1.13,0.0
694646,2025,8.22,2.09,1.0
690990,2025,2.78,1.14,1.0
669422,2025,6.37,1.45,1.0
663568,2025,3.88,1.24,1.0
676467,2025,5.67,1.52,0.0
477132,2025,3.28,1.18,0.0
641778,2025,3.32,1.16,0.0
608718,2025,4.61,1.3,0.0
702070,2025,3.03,1.13,0.0
690953,2025,7.76,1.76,1.0
676263,2025,2.78,1.06,0.0
642239,2025,1.59,0.94,0.0
677960,2025,3.28,1.05,0.0
605288,2025,3.01,1.29,1.0
687223,2025,8.91,2.04,0.0
806185,2025,4.8,1.49,1.0
681347,2025,4.08,1.26,1.0
682052,2025,4.08,1.27,0.0
805673,2025,4.73,1.42,1.0
663738,2025,2.79,1.4,0.0
650644,2025,5.09,1.34,1.0
669923,2025,4.47,1.23,1.0
663465,2025,2.91,1.28,0.0
519141,2025,2.4,1.11,0.0
675911,2025,4.97,1.39,1.0
680755,2025,2.95,1.01,1.0
677944,2025,4.78,1.3,1.0
